04-2020,12169
05-2020,1697
06-2020,4056
07-2020,89673
08-2020,105027
09-2020,125669
10-2020,167060
11-2020,156969
12-2020,216947
01-2021,271914
02-2021,224706
03-2021,95404
04-2021,61303
05-2021,55454
06-2021,67168
07-2021,58965
08-2021,39077
